Plik;Czas[s];Koszt;Sciezka
burma14.tsp
burma14.tsp;0.12792587280273438;3371;[0, 10, 8, 9, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7]
burma14.tsp;0.12891197204589844;3323;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9]
burma14.tsp;0.12594056129455566;3371;[0, 10, 8, 9, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7]
burma14.tsp;0.12491559982299805;3413;[0, 1, 2, 13, 3, 4, 11, 5, 6, 12, 7, 10, 8, 9]
burma14.tsp;0.17989778518676758;3336;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 10, 8, 9, 7]
burma14.tsp;0.12893891334533691;3371;[0, 10, 8, 9, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7]
burma14.tsp;0.12492871284484863;3381;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 9, 8, 10, 7]
burma14.tsp;0.13091135025024414;3371;[0, 10, 8, 9, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7]
burma14.tsp;0.15491867065429688;3323;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9]
burma14.tsp;0.15290498733520508;3323;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9]
gr17.txt
gr17.txt;0.2628495693206787;2152;[0, 6, 7, 5, 16, 13, 14, 2, 10, 4, 1, 9, 8, 11, 15, 3, 12]
gr17.txt;0.2388756275177002;2149;[0, 3, 12, 6, 7, 5, 16, 13, 14, 2, 10, 4, 1, 9, 8, 11, 15]
gr17.txt;0.2308673858642578;2163;[0, 15, 11, 8, 10, 4, 1, 9, 14, 2, 13, 5, 7, 16, 6, 12, 3]
gr17.txt;0.25284290313720703;2128;[0, 15, 11, 8, 4, 1, 9, 10, 2, 14, 13, 7, 6, 16, 5, 12, 3]
gr17.txt;0.24585914611816406;2153;[0, 15, 11, 8, 10, 4, 1, 9, 14, 2, 13, 16, 5, 7, 6, 12, 3]
gr17.txt;0.2368762493133545;2094;[0, 12, 3, 6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15]
gr17.txt;0.22786998748779297;2161;[0, 3, 12, 6, 16, 5, 7, 13, 14, 2, 10, 4, 1, 9, 8, 11, 15]
gr17.txt;0.21987342834472656;2149;[0, 15, 11, 8, 9, 1, 4, 10, 2, 14, 13, 16, 5, 7, 6, 12, 3]
gr17.txt;0.22385835647583008;2152;[0, 6, 7, 5, 16, 13, 14, 2, 10, 4, 1, 9, 8, 11, 15, 3, 12]
gr17.txt;0.2208871841430664;2115;[0, 15, 11, 8, 4, 1, 9, 10, 2, 14, 13, 16, 6, 7, 5, 12, 3]
gr21.tsp
gr21.tsp;0.42175745964050293;2707;[0, 6, 7, 5, 15, 4, 8, 2, 1, 20, 14, 13, 12, 17, 9, 16, 18, 19, 10, 3, 11]
gr21.tsp;0.4287550449371338;2815;[0, 3, 11, 6, 7, 5, 15, 4, 8, 2, 1, 20, 14, 13, 12, 17, 9, 16, 18, 10, 19]
gr21.tsp;0.4117770195007324;2824;[0, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 11, 3, 19, 10]
gr21.tsp;0.4087514877319336;2817;[0, 11, 3, 10, 19, 6, 7, 5, 15, 4, 8, 2, 1, 20, 14, 13, 12, 17, 9, 16, 18]
gr21.tsp;0.4567382335662842;2707;[0, 6, 7, 5, 15, 4, 8, 2, 1, 20, 14, 13, 12, 17, 9, 16, 18, 19, 10, 3, 11]
gr21.tsp;0.42577171325683594;2707;[0, 11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6]
gr21.tsp;0.41475939750671387;2709;[0, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 11]
gr21.tsp;0.4067666530609131;2707;[0, 11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6]
gr21.tsp;0.4067673683166504;2824;[0, 10, 19, 3, 11, 6, 7, 5, 15, 4, 8, 2, 1, 20, 14, 13, 12, 17, 9, 16, 18]
gr21.tsp;0.40376806259155273;2817;[0, 11, 3, 10, 19, 6, 7, 5, 15, 4, 8, 2, 1, 20, 14, 13, 12, 17, 9, 16, 18]
gr24.tsp
gr24.tsp;0.6036491394042969;1278;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 23, 5, 6, 7, 20, 2, 10, 15]
gr24.tsp;0.5996701717376709;1278;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 23, 5, 6, 7, 20, 2, 10, 15]
gr24.tsp;0.6606202125549316;1272;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 20, 7, 23, 5, 6, 2, 10, 15]
gr24.tsp;0.6765992641448975;1298;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 20, 7, 6, 5, 23, 2, 10, 15]
gr24.tsp;0.6506268978118896;1278;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 23, 5, 6, 7, 20, 2, 10, 15]
gr24.tsp;0.6036677360534668;1278;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 23, 5, 6, 7, 20, 2, 10, 15]
gr24.tsp;0.6106369495391846;1278;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 17, 21, 16, 9, 4, 23, 5, 6, 7, 20, 2, 10, 15]
gr24.tsp;0.6006684303283691;1278;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 23, 5, 6, 7, 20, 2, 10, 15]
gr24.tsp;0.6006429195404053;1272;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 20, 7, 23, 5, 6, 2, 10, 15]
gr24.tsp;0.5986697673797607;1278;[0, 11, 3, 22, 8, 12, 13, 19, 1, 14, 18, 21, 17, 16, 9, 4, 23, 5, 6, 7, 20, 2, 10, 15]
bays29.tsp
bays29.tsp;1.0484118461608887;2069;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 26, 7, 23, 15, 12, 20]
bays29.tsp;1.0953598022460938;2061;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 9, 19, 3, 14, 17, 16, 13, 21, 10, 18, 24, 6, 22, 26, 15, 12, 23, 7]
bays29.tsp;1.0733966827392578;2080;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 19, 9, 3, 14, 17, 13, 21, 16, 10, 18, 24, 6, 22, 7, 26, 15, 12, 23]
bays29.tsp;1.0464003086090088;2057;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 19, 9, 3, 14, 17, 16, 21, 13, 10, 18, 24, 6, 22, 15, 12, 23, 26, 7]
bays29.tsp;1.0783686637878418;2022;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 19, 9, 3, 14, 17, 13, 16, 21, 10, 18, 24, 6, 22, 26, 7, 23, 15, 12, 20]
bays29.tsp;1.0573937892913818;2082;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 19, 9, 12, 15, 18, 3, 14, 17, 13, 21, 16, 10, 24, 6, 22, 26, 7, 23]
bays29.tsp;1.1783254146575928;2055;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 12, 9, 19, 3, 14, 17, 16, 13, 21, 10, 18, 24, 6, 22, 23, 15, 26, 7]
bays29.tsp;1.1193711757659912;2086;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 12, 15, 18, 14, 3, 9, 19, 17, 16, 13, 21, 10, 24, 6, 22, 26, 7, 23]
bays29.tsp;1.072371244430542;2055;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 12, 9, 19, 3, 14, 17, 16, 13, 21, 10, 18, 24, 6, 22, 26, 23, 15, 7]
bays29.tsp;1.0434153079986572;2038;[0, 27, 5, 11, 8, 4, 25, 28, 2, 1, 20, 12, 9, 19, 3, 14, 17, 16, 13, 21, 10, 18, 24, 6, 22, 15, 26, 7, 23]
ftv33.txt
ftv33.txt;0.8365342617034912;1315;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 10, 8, 9, 32, 7, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.8295104503631592;1286;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 26, 27, 28, 29, 22, 20, 21, 31, 18, 19, 17, 11, 8, 10, 9, 32, 7, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.8505258560180664;1286;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 8, 10, 9, 32, 7, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.8335084915161133;1286;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 8, 10, 9, 32, 7, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.8445165157318115;1286;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 8, 10, 9, 32, 7, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.9084923267364502;1286;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 8, 10, 9, 32, 7, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.8834805488586426;1316;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 10, 9, 32, 7, 8, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.8605067729949951;1329;[0, 13, 12, 14, 15, 16, 1, 33, 30, 29, 26, 22, 27, 28, 25, 24, 23, 19, 20, 21, 31, 18, 17, 11, 8, 10, 9, 32, 7, 4, 6, 5, 2, 3]
ftv33.txt;0.8615200519561768;1286;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 8, 10, 9, 32, 7, 4, 6, 5, 30, 33, 2, 3]
ftv33.txt;0.8335254192352295;1316;[0, 13, 12, 14, 15, 16, 1, 25, 24, 23, 27, 28, 29, 26, 22, 20, 21, 31, 18, 19, 17, 11, 10, 9, 32, 7, 8, 4, 6, 5, 30, 33, 2, 3]
