Plik;Czas[s];Koszt;Sciezka
14;0,160908461;3475;[11, 5, 6, 12, 7, 10, 8, 9, 1, 0, 13, 2, 3, 4]
17;0,481972456;2164;[10, 4, 1, 9, 14, 2, 13, 5, 16, 7, 6, 12, 3, 0, 15, 11, 8]
14;0,929718256;3381;[1, 0, 7, 10, 8, 9, 12, 6, 11, 5, 4, 3, 2, 13]
21;1,392848015;2817;[14, 13, 12, 17, 9, 16, 18, 0, 11, 3, 10, 19, 6, 7, 5, 15, 4, 8, 2, 1, 20]
17;1,835595131;2161;[7, 5, 16, 6, 12, 3, 0, 15, 11, 8, 9, 1, 4, 10, 2, 14, 13]
14;1,349872828;3381;[1, 0, 7, 10, 8, 9, 12, 6, 11, 5, 4, 3, 2, 13]
14;1,955797434;3381;[1, 0, 7, 10, 8, 9, 12, 6, 11, 5, 4, 3, 2, 13]
17;2,438525677;2159;[16, 6, 12, 3, 0, 15, 11, 8, 9, 1, 4, 10, 2, 14, 13, 5, 7]
21;3,112149;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
14;2,620411158;3336;[10, 8, 9, 7, 0, 1, 13, 2, 3, 4, 5, 11, 6, 12]
17;3,3961308;2115;[10, 2, 14, 13, 16, 6, 7, 5, 12, 3, 0, 15, 11, 8, 4, 1, 9]
21;3,969316483;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
14;3,579393387;3336;[10, 8, 9, 7, 0, 1, 13, 2, 3, 4, 5, 11, 6, 12]
17;3,70515132;2115;[10, 2, 14, 13, 16, 6, 7, 5, 12, 3, 0, 15, 11, 8, 4, 1, 9]
14;3,64223361;3323;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9]
21;5,921685696;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
17;4,865653753;2085;[3, 12, 6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 0]
14;4,321711779;3323;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9]
17;4,997057438;2085;[3, 12, 6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 0]
14;4,388314247;3323;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9]
21;8,724449635;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
14;4,555693865;3323;[0, 1, 13, 2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9]
17;7,337997913;2085;[3, 12, 6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 0]
21;7,679611206;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
17;5,074949503;2085;[3, 12, 6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 0]
21;7,390447378;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
17;5,751841307;2085;[3, 12, 6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 0]
21;4,971602678;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
21;4,841028214;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
21;5,195826769;2707;[11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0]
